Age,Gender,EducationLevel,ExperienceYears,PreviousCompanies,DistanceFromCompany,InterviewScore,SkillScore,PersonalityScore,RecruitmentStrategy,HiringDecision,Application_Date,Offer_Date,Join_Date,Days_to_Offer,Days_to_Join,Funnel_Stage_Drop,Month
39,1,1,1,2,24.14,59,86,0,3,0,2024-01-12,2024-02-10,,29,,Dropped at Offer,Feb-2024
27,1,1,2,3,16.89,81,87,1,2,1,2024-03-15,2024-03-28,2024-04-21,13,24.0,Joined,Mar-2024
26,1,1,12,3,47.66,73,68,57,1,1,2024-06-27,2024-07-27,2024-08-18,30,22.0,Joined,Jul-2024
22,1,2,5,5,41.36,23,68,18,3,0,2024-05-08,2024-06-07,,30,,Dropped at Screening,Jun-2024
36,0,1,0,3,35.74,3,80,61,2,1,2024-01-27,2024-02-20,2024-03-06,24,15.0,Joined,Feb-2024
52,0,2,1,4,29.79,36,29,77,2,0,2024-01-12,2024-01-30,,18,,Dropped at Interview,Jan-2024
31,1,1,12,3,41.21,3,72,71,2,0,2024-01-30,2024-02-16,,17,,Dropped at Screening,Feb-2024
41,0,2,15,2,20.22,76,5,11,2,0,2024-01-09,2024-01-30,,21,,Dropped at Offer,Jan-2024
41,1,3,14,3,22.93,88,88,25,3,0,2024-02-22,2024-03-18,,25,,Dropped at Offer,Mar-2024
49,0,1,12,1,36.77,76,18,26,1,1,2024-02-23,2024-03-17,2024-03-28,23,11.0,Joined,Mar-2024
27,1,2,15,2,18.53,17,79,28,2,1,2024-06-13,2024-06-30,2024-07-15,17,15.0,Joined,Jun-2024
46,1,3,0,1,4.13,87,84,14,2,0,2024-06-18,2024-06-28,,10,,Dropped at Offer,Jun-2024
46,0,1,4,2,4.64,65,65,45,3,0,2024-02-18,2024-04-01,,43,,Dropped at Offer,Apr-2024
53,0,1,15,4,6.65,47,9,0,2,1,2024-01-04,2024-01-22,2024-02-05,18,14.0,Joined,Jan-2024
40,1,1,12,4,43.61,32,15,59,2,1,2024-03-19,2024-04-10,2024-05-10,22,30.0,Joined,Apr-2024
49,1,2,12,4,24.14,57,36,91,1,0,2024-06-27,2024-07-19,,22,,Dropped at Offer,Jul-2024
52,0,2,6,1,35.93,82,78,56,2,1,2024-03-31,2024-04-17,2024-05-13,17,26.0,Joined,Apr-2024
47,0,3,15,5,20.25,72,76,2,3,0,2024-03-19,2024-04-21,,33,,Dropped at Offer,Apr-2024
52,1,2,7,2,13.68,27,76,17,1,1,2024-06-07,2024-07-01,2024-07-23,24,22.0,Joined,Jul-2024
24,0,2,9,4,18.01,34,31,51,3,1,2024-04-12,2024-05-20,2024-06-15,38,26.0,Joined,May-2024
38,1,1,0,2,39.91,9,46,59,1,1,2024-04-20,2024-05-24,2024-06-17,34,24.0,Joined,May-2024
23,1,1,6,1,31.64,64,71,33,1,1,2024-02-27,2024-03-27,2024-04-06,29,10.0,Joined,Mar-2024
54,1,1,12,5,46.94,41,42,95,2,0,2024-03-22,2024-04-05,,14,,Dropped at Interview,Apr-2024
36,1,1,4,1,34.31,84,81,92,2,0,2024-05-11,2024-05-24,,13,,Dropped at Offer,May-2024
47,0,1,9,2,28.94,8,35,88,2,1,2024-01-22,2024-02-01,2024-02-23,10,22.0,Joined,Feb-2024
49,0,1,0,5,30.9,59,25,59,3,0,2024-05-10,2024-06-12,,33,,Dropped at Offer,Jun-2024
48,0,1,2,5,47.18,14,9,25,2,1,2024-03-19,2024-04-12,2024-04-22,24,10.0,Joined,Apr-2024
25,0,3,6,1,39.62,98,30,71,2,1,2024-04-08,2024-04-27,2024-05-09,19,12.0,Joined,Apr-2024
54,0,3,9,4,2.18,56,96,18,1,0,2024-06-23,2024-07-14,,21,,Dropped at Offer,Jul-2024
43,0,3,0,2,27.17,68,28,21,2,0,2024-02-07,2024-02-20,,13,,Dropped at Offer,Feb-2024
48,0,3,6,3,34.73,21,4,92,2,0,2024-06-09,2024-06-21,,12,,Dropped at Screening,Jun-2024
50,1,1,4,3,37.69,63,76,32,2,1,2024-06-24,2024-07-09,2024-07-18,15,9.0,Joined,Jul-2024
54,0,3,0,1,11.44,40,0,37,2,0,2024-04-26,2024-05-06,,10,,Dropped at Interview,May-2024
52,0,1,0,2,43.49,86,86,34,1,0,2024-01-26,2024-02-17,,22,,Dropped at Offer,Feb-2024
40,1,3,13,2,47.84,70,2,66,2,0,2024-05-15,2024-06-08,,24,,Dropped at Offer,Jun-2024
51,0,2,0,1,12.6,55,66,82,1,0,2024-02-19,2024-03-17,,27,,Dropped at Offer,Mar-2024
42,0,3,10,2,44.25,22,70,9,3,1,2024-02-07,2024-03-07,2024-03-31,29,24.0,Joined,Mar-2024
52,1,3,8,4,5.75,24,99,90,2,1,2024-05-17,2024-06-05,2024-06-26,19,21.0,Joined,Jun-2024
22,0,1,10,1,3.73,90,34,14,2,1,2024-02-11,2024-02-29,2024-03-14,18,14.0,Joined,Feb-2024
37,0,3,12,4,7.33,5,14,10,2,1,2024-02-06,2024-02-27,2024-03-22,21,24.0,Joined,Feb-2024
44,0,2,2,2,3.83,33,66,89,1,1,2024-06-02,2024-06-27,2024-07-27,25,30.0,Joined,Jun-2024
50,1,1,14,1,42.41,62,92,23,2,1,2024-05-19,2024-06-03,2024-07-02,15,29.0,Joined,Jun-2024
22,0,1,12,2,3.89,8,29,76,2,1,2024-02-18,2024-02-29,2024-03-09,11,9.0,Joined,Feb-2024
43,0,3,4,1,14.31,59,81,95,3,0,2024-05-21,2024-06-29,,39,,Dropped at Offer,Jun-2024
51,1,1,10,2,6.08,48,74,100,1,1,2024-02-15,2024-03-12,2024-03-24,26,12.0,Joined,Mar-2024
41,0,1,15,4,15.48,96,42,3,1,1,2024-06-11,2024-07-13,2024-08-10,32,28.0,Joined,Jul-2024
42,1,1,9,4,5.44,50,59,12,3,1,2024-01-29,2024-02-29,2024-03-27,31,27.0,Joined,Feb-2024
21,1,1,11,2,33.73,59,39,72,1,1,2024-01-12,2024-02-12,2024-03-13,31,30.0,Joined,Feb-2024
46,0,1,15,1,7.53,69,64,56,2,0,2024-04-25,2024-05-05,,10,,Dropped at Offer,May-2024
21,1,1,8,3,42.74,36,28,97,2,1,2024-03-22,2024-04-12,2024-05-03,21,21.0,Joined,Apr-2024
45,1,2,5,4,41.04,30,73,36,3,1,2024-02-13,2024-03-15,2024-04-02,31,18.0,Joined,Mar-2024
36,0,3,11,4,1.67,97,91,47,1,0,2024-01-02,2024-01-27,,25,,Dropped at Offer,Jan-2024
52,1,2,8,3,44.89,40,94,70,1,1,2024-01-17,2024-02-14,2024-02-25,28,11.0,Joined,Feb-2024
28,1,1,7,2,2.42,61,18,0,1,1,2024-05-17,2024-06-06,2024-06-19,20,13.0,Joined,Jun-2024
48,0,1,7,1,12.74,92,2,59,3,1,2024-01-18,2024-02-22,2024-03-21,35,28.0,Joined,Feb-2024
45,0,3,0,2,2.59,57,35,11,2,1,2024-01-22,2024-02-03,2024-02-24,12,21.0,Joined,Feb-2024
54,0,2,12,5,17.46,13,42,20,3,1,2024-03-23,2024-04-17,2024-04-30,25,13.0,Joined,Apr-2024
44,1,3,8,4,26.18,35,14,10,2,1,2024-02-27,2024-03-08,2024-03-27,10,19.0,Joined,Mar-2024
43,0,2,5,5,40.04,35,96,43,3,1,2024-02-22,2024-03-29,2024-04-07,36,9.0,Joined,Mar-2024
32,1,1,15,4,17.56,78,40,57,2,0,2024-01-01,2024-01-20,,19,,Dropped at Offer,Jan-2024
26,1,3,8,4,35.57,7,89,43,1,0,2024-03-01,2024-03-26,,25,,Dropped at Screening,Mar-2024
39,1,3,2,5,10.19,25,79,77,1,1,2024-06-07,2024-07-02,2024-07-31,25,29.0,Joined,Jul-2024
20,1,1,11,5,37.78,35,35,97,1,0,2024-01-31,2024-02-20,,20,,Dropped at Interview,Feb-2024
27,1,3,2,2,12.56,47,96,33,3,1,2024-03-06,2024-04-14,2024-05-03,39,19.0,Joined,Apr-2024
35,1,2,5,5,8.03,84,83,24,3,0,2024-05-26,2024-07-09,,44,,Dropped at Offer,Jul-2024
33,1,2,8,2,10.09,27,76,3,3,1,2024-02-22,2024-04-06,2024-04-15,44,9.0,Joined,Apr-2024
31,0,2,6,2,9.92,67,32,63,1,0,2024-04-04,2024-05-07,,33,,Dropped at Offer,May-2024
42,0,2,13,2,26.13,61,4,89,2,1,2024-05-29,2024-06-08,2024-06-16,10,8.0,Joined,Jun-2024
34,1,1,12,4,42.4,79,100,15,1,0,2024-01-23,2024-02-25,,33,,Dropped at Offer,Feb-2024
47,1,3,2,4,4.9,85,77,9,1,0,2024-05-22,2024-06-21,,30,,Dropped at Offer,Jun-2024
53,0,2,2,5,35.64,75,90,65,2,1,2024-06-02,2024-06-25,2024-07-24,23,29.0,Joined,Jun-2024
21,1,1,1,4,33.06,79,86,34,2,1,2024-05-10,2024-05-21,2024-05-31,11,10.0,Joined,May-2024
51,0,3,8,5,43.75,50,13,82,2,0,2024-03-27,2024-04-18,,22,,Dropped at Interview,Apr-2024
42,0,3,12,4,12.96,41,67,5,2,0,2024-05-27,2024-06-06,,10,,Dropped at Interview,Jun-2024
41,0,1,14,1,23.06,100,82,18,1,1,2024-05-04,2024-06-04,2024-06-27,31,23.0,Joined,Jun-2024
44,1,1,2,1,46.37,28,46,58,3,0,2024-04-18,2024-05-31,,43,,Dropped at Screening,May-2024
41,1,2,10,5,33.34,81,53,52,1,1,2024-02-09,2024-03-05,2024-03-17,25,12.0,Joined,Mar-2024
41,0,3,4,4,20.05,9,3,7,2,0,2024-04-30,2024-05-20,,20,,Dropped at Screening,May-2024
25,0,3,13,4,7.44,38,93,77,3,0,2024-02-08,2024-03-09,,30,,Dropped at Interview,Mar-2024
34,0,1,13,2,13.86,81,82,9,3,1,2024-04-29,2024-06-05,2024-06-22,37,17.0,Joined,Jun-2024
52,0,3,8,3,29.48,0,94,66,1,1,2024-01-18,2024-02-21,2024-03-04,34,12.0,Joined,Feb-2024
27,0,2,7,5,36.19,38,94,37,1,1,2024-06-17,2024-07-08,2024-08-05,21,28.0,Joined,Jul-2024
24,1,3,1,3,7.1,20,8,28,1,0,2024-06-03,2024-06-23,,20,,Dropped at Screening,Jun-2024
23,0,1,2,3,30.38,64,52,14,3,0,2024-05-22,2024-06-16,,25,,Dropped at Offer,Jun-2024
25,1,1,15,5,27.97,14,76,86,3,0,2024-02-06,2024-03-06,,29,,Dropped at Screening,Mar-2024
51,0,2,15,4,26.18,3,77,22,3,1,2024-01-05,2024-02-15,2024-02-23,41,8.0,Joined,Feb-2024
49,1,2,1,5,34.82,59,59,81,2,0,2024-03-13,2024-03-27,,14,,Dropped at Offer,Mar-2024
54,1,3,15,3,42.04,60,45,45,2,0,2024-05-14,2024-05-26,,12,,Dropped at Offer,May-2024
35,1,3,7,4,16.83,19,53,82,1,1,2024-02-10,2024-03-13,2024-04-05,32,23.0,Joined,Mar-2024
32,1,1,5,1,44.56,9,73,27,3,0,2024-01-10,2024-02-11,,32,,Dropped at Screening,Feb-2024
49,1,2,5,5,8.87,86,94,25,1,0,2024-06-02,2024-06-25,,23,,Dropped at Offer,Jun-2024
38,1,2,11,5,9.48,33,36,9,3,1,2024-03-08,2024-04-15,2024-04-24,38,9.0,Joined,Apr-2024
36,0,2,14,4,14.07,47,22,46,1,1,2024-01-24,2024-02-27,2024-03-16,34,18.0,Joined,Feb-2024
38,1,3,8,1,6.86,32,26,3,2,1,2024-03-18,2024-03-30,2024-04-19,12,20.0,Joined,Mar-2024
47,0,2,7,1,12.29,97,69,54,3,1,2024-06-17,2024-07-23,2024-07-31,36,8.0,Joined,Jul-2024
45,1,1,3,4,6.21,60,89,65,2,1,2024-05-24,2024-06-14,2024-07-12,21,28.0,Joined,Jun-2024
45,1,1,14,2,41.27,9,65,66,3,1,2024-04-18,2024-05-20,2024-06-17,32,28.0,Joined,May-2024
42,0,3,11,5,7.81,53,60,6,1,1,2024-01-24,2024-02-19,2024-03-01,26,11.0,Joined,Feb-2024
28,1,3,3,5,37.62,83,76,54,3,1,2024-06-03,2024-07-06,2024-07-22,33,16.0,Joined,Jul-2024
31,0,2,8,3,3.35,64,50,79,2,1,2024-01-07,2024-01-28,2024-02-13,21,16.0,Joined,Jan-2024
20,0,3,0,4,47.48,76,49,30,3,0,2024-03-13,2024-04-20,,38,,Dropped at Offer,Apr-2024
20,0,1,12,3,35.85,0,18,73,1,1,2024-04-16,2024-05-19,2024-06-15,33,27.0,Joined,May-2024
53,0,2,1,3,1.33,4,0,18,3,1,2024-04-08,2024-05-18,2024-06-02,40,15.0,Joined,May-2024
51,1,1,1,1,38.43,79,39,27,2,0,2024-05-01,2024-05-21,,20,,Dropped at Offer,May-2024
44,1,2,12,5,26.19,14,31,80,1,1,2024-01-12,2024-02-14,2024-03-12,33,27.0,Joined,Feb-2024
20,0,3,12,3,39.19,27,21,27,2,0,2024-03-25,2024-04-04,,10,,Dropped at Screening,Apr-2024
35,1,2,5,1,26.6,94,92,18,3,0,2024-01-03,2024-02-12,,40,,Dropped at Offer,Feb-2024
24,1,2,14,4,32.41,22,65,100,2,1,2024-03-19,2024-03-30,2024-04-18,11,19.0,Joined,Mar-2024
41,0,1,3,3,39.53,16,39,86,3,0,2024-03-25,2024-04-21,,27,,Dropped at Screening,Apr-2024
48,1,1,15,5,20.85,97,37,19,1,1,2024-01-10,2024-02-07,2024-02-23,28,16.0,Joined,Feb-2024
22,0,2,12,3,1.13,12,47,12,2,1,2024-02-02,2024-02-20,2024-03-03,18,12.0,Joined,Feb-2024
31,0,3,10,4,42.65,13,54,76,2,0,2024-02-15,2024-03-08,,22,,Dropped at Screening,Mar-2024
45,1,3,9,3,19.66,10,74,42,3,0,2024-02-28,2024-04-10,,42,,Dropped at Screening,Apr-2024
35,1,1,12,5,25.31,27,80,10,2,0,2024-02-21,2024-03-06,,14,,Dropped at Screening,Mar-2024
41,1,3,2,1,1.38,41,54,47,2,1,2024-01-06,2024-01-24,2024-02-10,18,17.0,Joined,Jan-2024
48,0,1,2,5,25.11,95,50,14,1,1,2024-05-09,2024-05-30,2024-06-09,21,10.0,Joined,May-2024
33,0,3,2,1,49.34,98,59,16,3,0,2024-01-29,2024-03-12,,43,,Dropped at Offer,Mar-2024
47,1,2,5,2,14.64,60,7,53,3,1,2024-04-28,2024-06-05,2024-06-25,38,20.0,Joined,Jun-2024
24,1,1,13,5,20.38,63,85,49,1,1,2024-06-16,2024-07-09,2024-08-01,23,23.0,Joined,Jul-2024
49,1,1,15,5,34.67,30,67,27,1,0,2024-04-06,2024-05-04,,28,,Dropped at Interview,May-2024
24,1,2,7,4,40.92,80,74,82,3,0,2024-03-08,2024-04-07,,30,,Dropped at Offer,Apr-2024
31,0,1,10,3,21.45,72,71,3,1,0,2024-06-05,2024-06-30,,25,,Dropped at Offer,Jun-2024
35,1,3,6,1,16.17,9,8,21,1,0,2024-02-29,2024-03-21,,21,,Dropped at Screening,Mar-2024
45,0,3,13,1,46.95,7,89,85,1,0,2024-05-03,2024-06-06,,34,,Dropped at Screening,Jun-2024
45,0,1,3,4,34.18,20,1,100,3,0,2024-03-24,2024-04-27,,34,,Dropped at Screening,Apr-2024
40,1,3,10,4,6.83,76,79,38,1,0,2024-02-10,2024-03-12,,31,,Dropped at Offer,Mar-2024
52,1,1,11,3,4.38,58,94,33,2,0,2024-04-22,2024-05-15,,23,,Dropped at Offer,May-2024
49,1,2,3,3,24.69,49,69,96,2,0,2024-03-05,2024-03-25,,20,,Dropped at Interview,Mar-2024
42,0,1,10,5,11.78,68,84,43,3,0,2024-03-19,2024-04-13,,25,,Dropped at Offer,Apr-2024
29,1,2,9,2,13.45,69,89,41,1,1,2024-03-03,2024-04-01,2024-04-27,29,26.0,Joined,Apr-2024
24,1,3,14,3,44.01,29,58,39,2,1,2024-06-24,2024-07-10,2024-07-18,16,8.0,Joined,Jul-2024
53,0,2,10,4,5.39,94,18,96,3,0,2024-05-27,2024-06-23,,27,,Dropped at Offer,Jun-2024
50,1,3,15,3,36.05,16,27,11,2,1,2024-04-27,2024-05-11,2024-05-27,14,16.0,Joined,May-2024
29,0,1,10,1,14.29,74,71,1,1,1,2024-02-06,2024-03-08,2024-03-17,31,9.0,Joined,Mar-2024
38,1,3,13,2,38.26,19,13,27,3,1,2024-03-04,2024-04-12,2024-04-25,39,13.0,Joined,Apr-2024
51,0,1,10,5,36.4,47,23,73,2,1,2024-03-26,2024-04-14,2024-04-27,19,13.0,Joined,Apr-2024
20,1,1,1,1,1.36,72,43,85,3,1,2024-05-12,2024-06-09,2024-06-16,28,7.0,Joined,Jun-2024
24,1,2,13,1,25.95,1,100,80,2,1,2024-02-03,2024-02-27,2024-03-12,24,14.0,Joined,Feb-2024
23,0,2,15,2,7.83,36,55,89,2,0,2024-02-08,2024-02-21,,13,,Dropped at Interview,Feb-2024
35,0,2,0,5,43.45,0,89,66,1,0,2024-03-07,2024-03-29,,22,,Dropped at Screening,Mar-2024
43,1,2,8,4,43.71,3,94,70,1,1,2024-03-02,2024-03-31,2024-04-29,29,29.0,Joined,Mar-2024
35,0,3,11,5,21.5,99,50,71,2,1,2024-03-28,2024-04-18,2024-04-25,21,7.0,Joined,Apr-2024
21,0,3,14,3,22.78,53,31,83,3,0,2024-05-31,2024-07-07,,37,,Dropped at Interview,Jul-2024
47,0,3,11,1,15.86,24,49,75,3,1,2024-05-10,2024-06-07,2024-06-21,28,14.0,Joined,Jun-2024
51,0,1,1,3,36.11,2,40,98,1,1,2024-04-18,2024-05-11,2024-05-31,23,20.0,Joined,May-2024
46,1,3,12,4,18.57,8,65,80,2,1,2024-03-29,2024-04-21,2024-05-11,23,20.0,Joined,Apr-2024
39,1,3,7,3,14.12,85,24,91,1,1,2024-03-07,2024-03-31,2024-04-08,24,8.0,Joined,Mar-2024
43,0,3,14,5,22.18,86,60,9,2,1,2024-03-19,2024-04-02,2024-04-16,14,14.0,Joined,Apr-2024
31,0,2,15,3,5.48,75,65,85,2,0,2024-06-26,2024-07-07,,11,,Dropped at Offer,Jul-2024
54,0,3,8,4,37.58,73,41,56,1,0,2024-01-29,2024-02-19,,21,,Dropped at Offer,Feb-2024
52,0,1,3,4,1.62,33,64,96,3,1,2024-03-14,2024-04-09,2024-05-04,26,25.0,Joined,Apr-2024
52,1,2,7,4,32.58,42,35,85,1,0,2024-02-01,2024-02-29,,28,,Dropped at Interview,Feb-2024
31,1,1,8,5,9.96,73,75,36,2,1,2024-03-27,2024-04-12,2024-04-28,16,16.0,Joined,Apr-2024
22,0,3,9,4,12.39,93,8,76,1,1,2024-02-08,2024-03-08,2024-03-21,29,13.0,Joined,Mar-2024
20,0,2,9,1,32.15,21,35,90,3,1,2024-05-16,2024-06-15,2024-07-04,30,19.0,Joined,Jun-2024
52,0,1,4,4,49.65,69,91,63,3,1,2024-04-10,2024-05-08,2024-06-05,28,28.0,Joined,May-2024
29,1,3,15,3,39.11,1,37,78,2,1,2024-05-21,2024-06-08,2024-07-05,18,27.0,Joined,Jun-2024
48,0,1,12,3,12.07,93,32,85,1,1,2024-03-08,2024-03-28,2024-04-18,20,21.0,Joined,Mar-2024
32,1,1,13,3,9.63,65,41,93,3,1,2024-05-27,2024-06-24,2024-07-11,28,17.0,Joined,Jun-2024
31,0,1,6,5,43.45,31,60,39,1,1,2024-01-28,2024-02-29,2024-03-20,32,20.0,Joined,Feb-2024
50,1,3,15,3,22.77,15,45,100,3,1,2024-01-14,2024-02-13,2024-03-01,30,17.0,Joined,Feb-2024
21,0,3,9,5,7.72,75,85,97,2,0,2024-06-20,2024-07-11,,21,,Dropped at Offer,Jul-2024
54,1,1,3,5,43.25,0,88,59,2,1,2024-03-17,2024-03-31,2024-04-08,14,8.0,Joined,Mar-2024
42,0,2,0,4,40.99,71,60,97,1,0,2024-04-25,2024-05-29,,34,,Dropped at Offer,May-2024
36,0,2,2,1,49.21,47,17,47,2,0,2024-06-15,2024-07-02,,17,,Dropped at Interview,Jul-2024
45,0,3,4,4,45.58,49,69,98,3,1,2024-01-28,2024-03-08,2024-03-16,40,8.0,Joined,Mar-2024
27,1,3,2,4,42.74,12,81,18,2,0,2024-03-29,2024-04-11,,13,,Dropped at Screening,Apr-2024
48,0,3,15,5,3.58,14,79,71,3,1,2024-02-01,2024-03-07,2024-03-25,35,18.0,Joined,Mar-2024
45,1,3,11,5,6.12,52,14,32,3,1,2024-05-16,2024-06-24,2024-07-15,39,21.0,Joined,Jun-2024
29,1,3,12,3,28.88,43,47,43,2,1,2024-06-04,2024-06-28,2024-07-21,24,23.0,Joined,Jun-2024
45,0,2,10,3,27.04,7,71,91,3,1,2024-04-04,2024-05-17,2024-06-06,43,20.0,Joined,May-2024
53,0,3,6,4,23.44,73,12,36,3,0,2024-01-17,2024-02-29,,43,,Dropped at Offer,Feb-2024
26,0,1,11,2,20.44,45,42,88,1,0,2024-04-26,2024-05-17,,21,,Dropped at Interview,May-2024
23,1,1,8,2,22.13,68,59,35,1,1,2024-03-17,2024-04-13,2024-05-05,27,22.0,Joined,Apr-2024
30,0,2,14,3,28.9,18,56,80,1,0,2024-02-24,2024-03-19,,24,,Dropped at Screening,Mar-2024
48,1,1,11,2,1.1,37,70,87,2,0,2024-01-10,2024-01-30,,20,,Dropped at Interview,Jan-2024
44,1,2,5,3,13.77,10,16,20,1,0,2024-03-20,2024-04-15,,26,,Dropped at Screening,Apr-2024
40,0,2,12,5,26.4,42,49,1,3,1,2024-05-13,2024-06-21,2024-07-05,39,14.0,Joined,Jun-2024
29,0,1,9,4,36.39,19,31,30,2,0,2024-06-24,2024-07-17,,23,,Dropped at Screening,Jul-2024
28,0,3,0,1,9.53,19,21,96,2,0,2024-04-25,2024-05-05,,10,,Dropped at Screening,May-2024
43,0,1,15,4,27.8,20,54,29,2,0,2024-06-17,2024-07-11,,24,,Dropped at Screening,Jul-2024
54,0,1,6,3,36.01,81,56,75,2,1,2024-03-19,2024-04-11,2024-05-11,23,30.0,Joined,Apr-2024
54,0,2,14,3,22.79,56,12,43,3,0,2024-02-29,2024-04-10,,41,,Dropped at Offer,Apr-2024
37,1,1,2,4,2.33,49,46,11,3,0,2024-02-11,2024-03-26,,44,,Dropped at Interview,Mar-2024
51,1,2,4,3,23.01,73,86,50,1,1,2024-04-25,2024-05-22,2024-06-14,27,23.0,Joined,May-2024
43,1,3,15,2,15.53,97,61,48,2,0,2024-04-18,2024-05-10,,22,,Dropped at Offer,May-2024
42,0,3,9,2,46.55,25,53,23,1,1,2024-03-11,2024-04-06,2024-04-17,26,11.0,Joined,Apr-2024
51,1,3,3,3,7.11,29,28,23,3,1,2024-06-04,2024-07-16,2024-08-03,42,18.0,Joined,Jul-2024
31,1,1,9,3,32.97,72,21,59,2,1,2024-04-11,2024-04-25,2024-05-07,14,12.0,Joined,Apr-2024
32,1,2,4,2,3.58,30,64,10,3,1,2024-01-13,2024-02-08,2024-03-03,26,24.0,Joined,Feb-2024
42,1,3,4,3,22.86,41,28,12,1,1,2024-01-15,2024-02-09,2024-02-20,25,11.0,Joined,Feb-2024
44,1,2,5,3,28.14,67,47,90,3,1,2024-02-05,2024-03-01,2024-03-13,25,12.0,Joined,Mar-2024
54,0,2,13,4,15.6,60,4,71,2,0,2024-01-15,2024-01-30,,15,,Dropped at Offer,Jan-2024
49,0,3,9,1,23.3,60,34,73,2,1,2024-04-26,2024-05-08,2024-05-23,12,15.0,Joined,May-2024
36,1,3,11,2,9.01,69,73,71,1,0,2024-03-15,2024-04-15,,31,,Dropped at Offer,Apr-2024
39,1,2,9,4,15.9,77,82,63,2,0,2024-02-25,2024-03-12,,16,,Dropped at Offer,Mar-2024
44,1,3,12,1,31.43,67,100,19,3,1,2024-04-04,2024-05-03,2024-05-24,29,21.0,Joined,May-2024
41,0,2,12,3,15.79,89,70,71,3,0,2024-05-11,2024-06-16,,36,,Dropped at Offer,Jun-2024
32,0,2,10,3,45.09,16,45,72,3,0,2024-02-21,2024-03-20,,28,,Dropped at Screening,Mar-2024
38,1,3,5,4,31.79,18,34,70,3,0,2024-05-17,2024-06-16,,30,,Dropped at Screening,Jun-2024
31,0,1,15,3,22.49,50,44,77,1,1,2024-06-21,2024-07-14,2024-07-30,23,16.0,Joined,Jul-2024
38,0,3,7,5,2.9,69,12,27,3,0,2024-03-24,2024-04-26,,33,,Dropped at Offer,Apr-2024
31,1,1,7,4,25.48,62,9,1,1,0,2024-01-29,2024-02-25,,27,,Dropped at Offer,Feb-2024
28,0,2,10,1,38.47,92,65,42,3,1,2024-02-22,2024-04-01,2024-04-24,39,23.0,Joined,Apr-2024
26,0,2,8,4,14.01,74,69,7,1,0,2024-06-05,2024-06-27,,22,,Dropped at Offer,Jun-2024
47,1,1,7,2,40.53,79,71,12,3,0,2024-05-30,2024-07-06,,37,,Dropped at Offer,Jul-2024
33,0,2,12,4,13.34,29,99,84,3,0,2024-06-26,2024-07-27,,31,,Dropped at Screening,Jul-2024
50,0,1,10,3,41.36,24,24,91,1,1,2024-01-21,2024-02-11,2024-03-07,21,25.0,Joined,Feb-2024
38,1,1,1,3,5.18,74,43,34,2,0,2024-04-21,2024-05-11,,20,,Dropped at Offer,May-2024
35,0,2,13,5,43.44,70,59,22,2,0,2024-06-19,2024-07-11,,22,,Dropped at Offer,Jul-2024
24,0,1,13,5,25.46,25,46,45,2,1,2024-05-17,2024-06-08,2024-06-26,22,18.0,Joined,Jun-2024
54,1,3,11,5,15.53,55,39,14,1,1,2024-03-16,2024-04-10,2024-04-25,25,15.0,Joined,Apr-2024
31,1,3,9,1,13.99,21,6,1,2,1,2024-01-30,2024-02-10,2024-03-02,11,21.0,Joined,Feb-2024
44,1,2,11,5,22.17,88,45,60,2,0,2024-05-04,2024-05-22,,18,,Dropped at Offer,May-2024
40,0,2,10,1,49.95,18,22,75,1,1,2024-02-20,2024-03-13,2024-04-02,22,20.0,Joined,Mar-2024
42,1,1,14,5,11.8,30,82,63,2,1,2024-06-09,2024-06-24,2024-07-01,15,7.0,Joined,Jun-2024
35,0,1,15,1,6.06,25,45,51,2,1,2024-05-25,2024-06-07,2024-06-30,13,23.0,Joined,Jun-2024
33,1,1,0,4,29.67,41,85,35,2,0,2024-03-18,2024-03-28,,10,,Dropped at Interview,Mar-2024
50,0,1,9,4,24.94,40,12,66,1,1,2024-01-22,2024-02-22,2024-02-29,31,7.0,Joined,Feb-2024
24,1,3,1,3,26.69,99,20,68,1,1,2024-03-04,2024-04-06,2024-05-05,33,29.0,Joined,Apr-2024
54,1,3,1,1,33.68,22,0,66,2,1,2024-01-21,2024-02-14,2024-03-12,24,27.0,Joined,Feb-2024
42,1,2,11,2,14.09,46,18,46,2,1,2024-05-08,2024-05-23,2024-06-20,15,28.0,Joined,May-2024
48,1,1,2,3,45.62,12,59,82,1,1,2024-04-16,2024-05-17,2024-06-05,31,19.0,Joined,May-2024
30,0,1,9,4,22.35,88,32,1,2,0,2024-04-25,2024-05-19,,24,,Dropped at Offer,May-2024
37,1,2,6,1,7.33,65,3,43,1,0,2024-05-03,2024-05-30,,27,,Dropped at Offer,May-2024
31,1,1,1,5,37.37,65,2,100,2,1,2024-05-22,2024-06-02,2024-06-16,11,14.0,Joined,Jun-2024
28,0,1,13,2,32.51,15,90,63,1,1,2024-02-05,2024-03-10,2024-03-29,34,19.0,Joined,Mar-2024
29,1,1,15,4,16.47,72,51,80,3,1,2024-02-16,2024-03-22,2024-04-13,35,22.0,Joined,Mar-2024
36,0,1,0,3,31.45,27,98,77,3,0,2024-02-01,2024-02-28,,27,,Dropped at Screening,Feb-2024
26,1,1,15,1,11.77,76,27,27,1,0,2024-06-22,2024-07-21,,29,,Dropped at Offer,Jul-2024
32,1,2,13,2,22.8,34,69,90,3,0,2024-02-23,2024-03-19,,25,,Dropped at Interview,Mar-2024
